user_id,week_year,num_ascolti_totali,num_ascolti_artista,artisti_univoci,generi_univoci
AintGotNoFace,2011/50,71,2,46,14
AintGotNoFace,2011/51,7,0,2,2
AintGotNoFace,2012/06,11,0,11,6
AintGotNoFace,2012/14,4,0,4,4
AintGotNoFace,2012/52,15,0,15,6
Airbornsock,2016/11,9,1,8,6
Airbornsock,2016/12,160,2,28,13
Airhead1963,2012/15,9,0,1,1
Airhead1963,2012/31,1,0,1,1
Airhead1963,2012/33,3,0,3,3
Airhead1963,2012/42,1,0,1,1
Airhead1963,2012/44,54,0,50,18
Airhead1963,2013/03,5,1,5,2
Airhead1963,2013/04,24,0,2,2
Airhead1963,2013/09,13,0,11,3
Airhead1963,2013/16,17,0,16,7
Ajay_0092,2014/48,10,0,4,2
Ajay_0092,2014/49,6,0,5,5
Ajay_0092,2014/50,19,1,8,5
Ajay_0092,2014/52,1,0,1,1
Ajay_0092,2015/01,1,0,1,1
Ajay_0092,2015/02,5,0,3,1
Ajay_0092,2015/05,28,0,6,5
Ajay_0092,2015/06,8,0,7,5
Ajay_0092,2015/45,40,0,22,10
Ajay_0092,2015/49,6,0,6,4
Ajay_0092,2015/50,1,0,1,1
Ajay_0092,2015/53,11,0,7,7
Ajay_0092,2016/01,11,0,8,4
Ajay_0092,2016/03,4,0,3,3
Ajay_0092,2016/07,1,0,1,1
Ajayrious,2011/32,7,0,6,5
Ajayrious,2011/33,18,0,18,8
Ajayrious,2011/34,20,7,13,5
Ajayrious,2011/35,56,0,42,17
Ajayrious,2011/36,2,0,2,2
Ajayrious,2011/37,4,1,4,3
Ajayrious,2011/38,25,0,1,1
Ajayrious,2011/41,1,0,1,1
Ajescent,2015/10,19,0,19,10
Ajescent,2015/11,45,0,36,16
Ajescent,2015/17,16,0,16,12
Ajescent,2015/19,15,0,15,8
Ajescent,2015/22,14,0,14,10
Ajescent,2015/23,35,1,34,16
Ajescent,2015/27,4,0,4,4
Akemi69,2016/06,74,5,42,24
Akemi69,2016/07,49,1,31,18
Akemi69,2016/11,12,0,8,7
Al8587,2014/25,88,1,56,26
Al8587,2014/26,10,0,10,6
Al8587,2016/12,85,0,59,14
Al_Logan,2016/11,52,0,13,10
Al_Logan,2016/12,114,3,34,12
Alboradaa,2015/46,26,0,26,13
Alboradaa,2015/47,120,2,98,37
Alboradaa,2015/48,1,0,1,1
Alboradaa,2015/50,13,0,11,5
Alboradaa,2016/08,19,0,7,5
Aldakila,2016/09,57,0,50,15
Aldakila,2016/10,4,0,4,4
Aldakila,2016/11,77,0,75,28
Aldakila,2016/12,39,1,39,10
Aleandar,2012/42,45,0,27,8
Aleandar,2012/43,30,0,7,2
Aleandar,2012/45,3,0,3,2
Aleandar,2012/47,2,0,2,2
Aleandar,2012/49,28,0,22,4
Aleandar,2012/50,10,0,9,3
Aleandar,2013/19,47,1,34,7
Alec1887,2016/04,66,1,51,18
Alec1887,2016/05,14,0,2,2
Alec1887,2016/06,29,0,16,7
Alec1887,2016/10,22,0,12,5
Alec1887,2016/11,17,0,13,6
Alec1887,2016/12,6,0,6,3
Aledda,2016/10,9,0,9,4
Aledda,2016/11,81,1,65,9
Aledda,2016/12,55,0,10,4
Alergy,2016/10,105,3,37,24
Alergy,2016/11,47,0,31,12
Alergy,2016/12,18,0,8,5
Alex13l_Sama,2011/29,5,0,5,5
Alex13l_Sama,2011/31,23,0,21,13
Alex13l_Sama,2011/35,12,0,12,5
Alex13l_Sama,2011/37,13,0,13,9
Alex13l_Sama,2012/05,57,1,49,22
AlexAnslow,2010/26,11,0,1,1
AlexAnslow,2010/27,160,4,66,16
AlexDalton123,2013/19,12,0,4,3
AlexDalton123,2013/20,16,0,7,5
AlexDalton123,2013/21,32,15,7,4
AlexDalton123,2013/22,9,5,2,2
AlexDalton123,2013/23,12,0,2,2
AlexDalton123,2013/24,1,0,1,1
AlexDalton123,2013/26,6,0,1,1
AlexDalton123,2013/27,15,0,2,1
AlexDrake,2015/17,15,1,13,8
AlexDrake,2015/27,32,2,25,9
AlexDrake,2015/29,19,3,14,6
AlexDrake,2015/30,2,0,2,2
AlexDrake,2015/31,31,11,16,5
AlexDrake,2015/32,33,1,26,10
AlexDrake,2015/53,2,0,2,2
AlexHamlin,2016/11,5,0,5,4
AlexHamlin,2016/12,131,1,107,45
AlexMcC,2016/11,4,0,4,3
AlexMcC,2016/12,128,1,105,34
AlexaTrashRose,2012/10,139,2,114,38
AlexaTrashRose,2012/17,22,0,22,9
AlexaTrashRose,2012/18,7,0,7,6
AlexaTrashRose,2012/19,8,0,8,7
AlexaTrashRose,2013/16,2,0,2,2
Alexander_P_Cox,2011/32,7,0,7,5
Alexander_P_Cox,2011/33,11,0,10,7
Alexander_P_Cox,2011/34,52,0,22,11
Alexander_P_Cox,2011/35,6,1,5,4
Alexander_P_Cox,2011/36,39,0,11,5
Alexander_P_Cox,2011/38,11,0,11,10
Alexrrrr,2015/47,1,0,1,1
Alexrrrr,2015/48,1,0,1,1
