user_id,num_ascolti_totali,num_ascolti_artista,settimane_totali,settimane_artista,artisti_univoci,generi_univoci,degree_initial_network,num_amici,quota_amici_artista,friends_num_ascolti_totali,friends_num_ascolti_artista,friends_settimane_totali,friends_settimane_artista,churn,reason
anrky4000,175.0,15.0,8.0,2.0,53.0,25.0,4,3.0,0.0,85.6666666667,0.0,3.33333333333,0.0,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
arranwicher,145.0,31.0,11.0,6.0,47.0,10.0,3,2.0,0.0,147.5,0.0,3.0,0.0,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
ash_walker,151.0,14.0,5.0,2.0,23.0,13.0,6,5.0,0.0,139.2,0.0,10.8,0.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
ashleighleanne,141.0,24.0,5.0,3.0,51.0,15.0,10,3.0,0.666666666667,155.0,14.0,6.0,1.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
carlwalton,154.0,15.0,12.0,4.0,80.0,32.0,3,2.0,0.0,158.5,0.0,5.5,0.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
carlyannetonner,131.0,14.0,14.0,4.0,64.0,24.0,138,34.0,0.0882352941176,138.558823529,0.176470588235,8.23529411765,0.147058823529,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
charlycrash,154.0,18.0,16.0,6.0,41.0,18.0,13,2.0,0.5,173.5,0.5,3.5,0.5,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
citizenerased16,139.0,26.0,6.0,3.0,20.0,7.0,3,2.0,0.0,167.5,0.0,11.5,0.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
ciudadano_d,167.0,17.0,6.0,3.0,89.0,26.0,10,0,0,0,0,0,0,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
clockworkpurple,184.0,14.0,5.0,3.0,62.0,19.0,27,11.0,0.0,141.181818182,0.0,4.27272727273,0.0,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
coheed87,171.0,16.0,5.0,2.0,53.0,20.0,111,75.0,0.106666666667,139.04,1.13333333333,6.33333333333,0.12,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
craigy_mac,174.0,11.0,4.0,2.0,63.0,17.0,5,3.0,0.0,148.333333333,0.0,4.0,0.0,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
dAvik42,141.0,23.0,8.0,3.0,50.0,21.0,9,6.0,0.166666666667,137.666666667,0.166666666667,6.16666666667,0.166666666667,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
daniellebeeson,165.0,16.0,8.0,2.0,20.0,6.0,8,3.0,0.333333333333,121.666666667,3.0,12.3333333333,1.66666666667,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
danshq,170.0,12.0,5.0,2.0,25.0,12.0,12,7.0,0.0,106.142857143,0.0,4.85714285714,0.0,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
deadstar37,183.0,25.0,8.0,4.0,80.0,30.0,58,25.0,0.36,125.96,2.24,6.4,0.56,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
djcati,162.0,13.0,4.0,3.0,87.0,21.0,21,1.0,1.0,93.0,10.0,5.0,2.0,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
dreamyourealive,143.0,38.0,8.0,3.0,22.0,13.0,34,13.0,0.307692307692,146.384615385,2.69230769231,7.46153846154,0.461538461538,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
dunkster,148.0,13.0,10.0,6.0,54.0,22.0,17,5.0,0.0,137.4,0.0,6.6,0.0,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
dupingdelight,160.0,69.0,11.0,2.0,48.0,25.0,36,20.0,0.1,103.6,0.45,4.4,0.1,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
dwaddington,147.0,22.0,6.0,2.0,94.0,30.0,7,1.0,0.0,140.0,0.0,3.0,0.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
enasnimark,175.0,10.0,13.0,4.0,87.0,26.0,2,1.0,0.0,121.0,0.0,1.0,0.0,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
ermmgem,177.0,28.0,8.0,2.0,42.0,11.0,22,10.0,0.5,148.6,4.7,10.4,0.7,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
ffionsgay,154.0,16.0,6.0,5.0,29.0,14.0,151,54.0,0.425925925926,135.462962963,5.05555555556,5.59259259259,0.759259259259,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
firked,185.0,24.0,9.0,3.0,47.0,20.0,42,21.0,0.047619047619,139.952380952,0.047619047619,5.95238095238,0.047619047619,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
flashstepandy,161.0,11.0,9.0,3.0,51.0,18.0,50,17.0,0.117647058824,141.941176471,0.117647058824,4.94117647059,0.117647058824,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
flytopia,183.0,11.0,5.0,4.0,110.0,40.0,2,1.0,0.0,25.0,0.0,2.0,0.0,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
followiill,131.0,15.0,9.0,5.0,31.0,13.0,5,4.0,0.5,142.75,0.5,6.25,0.5,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
gavbaby,149.0,17.0,12.0,2.0,33.0,10.0,11,2.0,0.5,129.5,0.5,6.5,0.5,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
gboyers,156.0,20.0,9.0,4.0,90.0,28.0,32,9.0,0.111111111111,109.333333333,0.444444444444,5.0,0.222222222222,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
ghosts-,156.0,14.0,6.0,2.0,38.0,15.0,5,3.0,0.0,124.333333333,0.0,4.0,0.0,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
gunnars18,139.0,21.0,6.0,4.0,45.0,13.0,12,10.0,0.0,148.3,0.0,5.1,0.0,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
harris.kirk,152.0,16.0,8.0,3.0,8.0,5.0,11,4.0,0.0,112.5,0.0,4.5,0.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
hattiebabes,137.0,13.0,5.0,2.0,87.0,20.0,4,2.0,0.5,181.0,0.5,3.0,0.5,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
isitzain,188.0,18.0,7.0,2.0,53.0,17.0,31,16.0,0.0,116.5,0.0,6.1875,0.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
