user_id,week_year,num_ascolti_totali,num_ascolti_artista
Kung-Fu_Devil,2013/27,1,0
Kung-Fu_Devil,2013/29,18,0
Kung-Fu_Devil,2013/30,22,8
Kung-Fu_Devil,2013/31,9,0
Kung-Fu_Devil,2013/32,16,0
Laceyful,2015/48,4,0
Laceyful,2015/50,27,0
Laceyful,2015/51,29,0
Laceyful,2015/52,25,1
Laceyful,2015/53,9,9
Laceyful,2016/01,2,2
Laceyful,2016/02,63,0
Lenatalia,2012/26,4,0
Lenatalia,2012/29,3,0
Lenatalia,2012/34,8,0
Lenatalia,2012/35,11,0
Lenatalia,2012/37,4,0
Lenatalia,2012/40,4,4
Lenatalia,2012/52,10,9
Lenatalia,2013/04,20,1
Lenatalia,2013/06,28,3
Lenatalia,2013/12,1,0
Lenatalia,2013/16,10,1
Lenatalia,2013/19,12,0
Lenatalia,2013/20,18,13
Lenatalia,2013/21,3,3
Lenatalia,2013/31,11,11
LibraryMatt,2015/12,7,1
LibraryMatt,2015/13,119,5
LibraryMatt,2015/22,28,10
LibraryMatt,2016/10,21,0
LilSparkliBunni,2010/33,43,0
LilSparkliBunni,2010/34,9,0
LilSparkliBunni,2010/35,16,0
LilSparkliBunni,2010/38,10,1
LilSparkliBunni,2010/39,3,3
LilSparkliBunni,2010/42,12,12
LilSparkliBunni,2010/52,7,0
LilSparkliBunni,2011/01,7,0
LilSparkliBunni,2011/05,33,0
LilSparkliBunni,2011/06,23,0
LilySparks,2010/05,17,1
LilySparks,2010/07,4,0
LilySparks,2010/08,3,1
LilySparks,2010/10,1,0
LilySparks,2010/12,1,0
LilySparks,2010/13,7,0
LilySparks,2010/14,24,0
LilySparks,2010/15,1,0
LilySparks,2010/16,8,0
LilySparks,2010/18,44,10
LilySparks,2010/20,9,0
LilySparks,2010/21,16,0
LilySparks,2010/22,8,0
LilySparks,2010/24,5,0
LilySparks,2010/30,1,0
Lixypie,2012/19,33,3
Lixypie,2012/24,93,9
Lixypie,2012/26,49,2
Lixypie,2013/12,1,0
Lulu_Natasha,2014/36,45,5
Lulu_Natasha,2014/37,31,2
Lulu_Natasha,2014/38,7,0
Lulu_Natasha,2014/45,12,4
Lulu_Natasha,2014/46,5,0
Lulu_Natasha,2015/16,5,0
Lulu_Natasha,2015/20,6,0
Lulu_Natasha,2015/30,40,5
Lulu_Natasha,2016/02,6,0
LunarScope,2012/49,38,1
LunarScope,2012/50,43,2
LunarScope,2012/51,19,0
LunarScope,2012/52,46,8
LunarScope,2013/01,1,0
MattMuse55,2015/05,3,0
MattMuse55,2015/22,25,3
MattMuse55,2015/23,11,0
MattMuse55,2015/24,95,13
Matthew66,2012/33,16,0
Matthew66,2012/50,19,0
Matthew66,2015/19,43,22
Matthew66,2015/20,10,0
Matthew66,2015/24,3,0
Matthew66,2015/27,14,0
Matthew66,2015/28,5,2
Matthew66,2015/29,11,0
Matthew66,2015/33,18,1
Matthew66,2015/38,7,0
Matthew66,2015/39,1,0
Matthew66,2015/42,25,0
Matthew66,2015/48,1,0
MatthiasEdgar,2014/23,8,0
MatthiasEdgar,2014/24,80,10
MatthiasEdgar,2014/25,56,7
MatthiasEdgar,2014/26,32,0
MatthiasEdgar,2015/24,6,0
MicrocutsAC,2013/21,46,10
MicrocutsAC,2013/33,7,1
MicrocutsAC,2013/35,3,0
MicrocutsAC,2013/39,17,0
MicrocutsAC,2013/43,16,0
MicrocutsAC,2013/48,37,11
MicrocutsAC,2013/49,12,0
MicrocutsAC,2014/45,4,0
Mintyme,2015/29,79,1
Mintyme,2015/30,10,0
Mintyme,2015/31,8,0
Mintyme,2015/53,80,12
Mintyme,2016/05,4,0
MissHelenT,2012/07,42,2
MissHelenT,2012/08,2,0
MissHelenT,2012/09,34,4
MissHelenT,2012/30,33,0
MissHelenT,2012/32,5,0
MissHelenT,2012/40,11,11
MissHelenT,2012/45,5,0
MissHelenT,2012/47,9,0
MissHelenT,2013/17,11,1
MissHelenT,2013/31,24,1
MissHelenT,2013/51,1,0
MisterMouse,2013/50,109,25
MisterMouse,2013/51,46,11
MisterMouse,2013/52,40,1
MisterMouse,2014/01,1,0
Monts440,2014/19,17,0
Monts440,2014/20,10,0
Monts440,2014/21,38,0
Monts440,2014/36,10,0
Monts440,2014/37,10,0
Monts440,2014/38,21,1
Monts440,2014/46,29,0
Monts440,2014/47,7,0
Monts440,2014/48,16,0
Monts440,2015/09,15,0
Monts440,2015/25,23,11
Mr_Softie,2009/40,30,2
Mr_Softie,2009/41,19,2
Mr_Softie,2009/42,53,3
Mr_Softie,2009/43,3,0
Mr_Softie,2009/44,1,0
Mr_Softie,2009/46,7,0
Mr_Softie,2009/48,3,0
Mr_Softie,2009/52,4,1
Mr_Softie,2010/07,55,3
Mr_Softie,2010/14,1,0
Mr_Softie,2010/19,1,0
Mr_Softie,2010/37,1,0
Mr_Softie,2011/27,1,0
Navarre0,2010/19,7,0
Navarre0,2010/20,1,0
Navarre0,2010/23,73,4
Navarre0,2010/24,46,8
Navarre0,2010/25,5,0
NekuraManji,2015/08,3,0
NekuraManji,2015/09,9,0
NekuraManji,2015/14,5,0
NekuraManji,2015/17,4,0
NekuraManji,2015/21,12,0
