user_id,num_ascolti_totali,num_ascolti_artista,settimane_totali,settimane_artista,artisti_univoci,generi_univoci
Achtung_Baby,194,14,8,1,34,13
AcidDica,159,0,1,0,107,38
AcidPenguin,142,0,4,0,80,24
AcidRephlux,187,0,3,0,119,43
AcidTrip01,88,0,8,0,52,17
AcidTruth,75,0,15,0,28,14
Acid_Ophilez,133,0,4,0,83,34
Acidevil,175,0,4,0,22,15
Acidicx,123,0,3,0,66,20
Ackay,113,0,5,0,29,13
Acksaw,149,0,2,0,68,23
Acquiescence,75,1,4,1,20,13
Acrophis,91,0,8,0,40,19
AcrossCanyons,154,0,3,0,29,14
Acrotis,66,0,4,0,11,6
Acrowder,130,0,5,0,89,28
ActYourRage,149,0,3,0,18,7
Actel,154,0,4,0,96,36
Acton_dj,124,0,16,0,85,27
Actorbaybee,112,4,3,2,58,20
ActualSound,172,1,9,1,54,18
Ad1138,171,0,6,0,13,7
AdOMac1983,43,0,3,0,33,15
Ad_C,183,2,1,1,135,29
Ad_Harri9,99,0,2,0,24,9
AdaMaZon,50,0,7,0,14,8
AdachiBaby,130,8,2,1,50,19
Adagio91,162,0,2,0,23,9
Adagioformings,133,0,6,0,17,8
AdahnSurian,118,0,9,0,12,7
Adalon,137,0,3,0,15,10
Adam-Kellythorn,126,0,4,0,31,11
Adam1988innit,191,7,1,1,54,22
Adam85Hewson,186,3,4,2,80,34
Adam93,160,0,3,0,88,20
AdamApple94,132,0,9,0,64,24
AdamBell1,78,0,4,0,25,10
AdamCarrico,25,0,2,0,4,4
AdamDBA,108,0,14,0,25,14
AdamDotMan,69,0,1,0,23,13
AdamDowds,100,0,2,0,54,27
AdamEW,97,0,21,0,44,24
AdamFoxy666,119,0,3,0,51,18
AdamG1138,93,0,2,0,16,11
AdamGoff,149,0,4,0,56,25
AdamHarness,161,0,3,0,42,15
AdamJENobbs,89,0,15,0,44,18
AdamJGriffith,155,0,1,0,53,25
AdamJPart,156,0,2,0,113,37
AdamJaya,93,0,4,0,32,11
AdamJohnLowe,168,0,19,0,43,20
AdamLC,165,0,1,0,71,17
AdamLeliel,169,0,7,0,101,40
AdamLiptrot,175,0,7,0,61,15
AdamMMA,139,0,7,0,57,20
AdamMcSpaddam,174,0,4,0,34,14
AdamMedley,156,0,16,0,92,26
AdamMerry,147,0,4,0,85,29
AdamMilton,156,0,10,0,68,27
AdamORourke,65,0,7,0,28,9
AdamP91,119,0,12,0,45,12
AdamPTG,122,0,10,0,50,15
AdamPalmer,138,0,3,0,84,25
AdamParker1986,98,2,3,2,15,5
AdamPellinDeeve,145,0,3,0,40,11
AdamRawrr,91,1,2,1,22,11
AdamRuss,112,0,14,0,17,7
AdamSebParker,186,0,2,0,159,41
AdamSegarty,24,0,2,0,20,5
AdamShiel,12,0,2,0,4,3
AdamSko89,103,0,2,0,39,13
AdamSmiith,71,0,17,0,33,12
AdamStandage,154,0,4,0,34,19
AdamTJ1992,174,3,16,2,107,35
AdamTheSmith,24,0,1,0,4,4
AdamW1991,32,0,3,0,14,9
AdamWatt,100,0,10,0,35,10
AdamWhiteman,187,0,4,0,132,26
AdamWhittingham,139,0,1,0,112,36
AdamWilliam__,58,0,4,0,32,13
Adam_A_09,130,0,2,0,59,26
Adam_Harrison,154,0,9,0,104,45
Adam_Lee,116,0,4,0,37,11
Adam_Mitchell20,122,0,17,0,34,11
Adam_T,167,0,4,0,32,12
Adam_UK,106,0,6,0,65,27
Adam__Thomas,133,0,14,0,99,30
Adam_john,163,0,3,0,44,11
Adamc_1990,148,0,10,0,48,22
AdamchaseLFM,114,0,9,0,24,14
Adamjhockley,178,0,10,0,30,17
Adamjones1989,152,0,4,0,86,38
Adamkerow,84,0,4,0,73,18
Adammartin182,145,0,5,0,59,17
Adamoo,138,0,3,0,13,11
Adamouk,155,0,7,0,89,24
Adamrobk,46,0,7,0,34,18
AdamsChips,83,0,7,0,28,12
AdamsHere,21,0,9,0,21,12
Adamski-Ja,175,0,5,0,127,36
AdamskiBarca,166,0,5,0,85,17
AdamskiFTW,97,0,2,0,24,9
Adamskyy,153,0,5,0,99,40
Adamson123,115,0,3,0,41,19
Adamwhitty2011,108,0,3,0,49,16
Adamworthy,124,0,2,0,75,19
AdaptUK0,155,0,17,0,58,26
Adcuz,81,0,14,0,68,24
AddictOfMusic,108,0,11,0,15,6
Addicted2Melody,129,0,8,0,70,20
Adds102,148,0,6,0,40,18
Addylabel,119,0,13,0,97,31
Addz_Elliott,140,0,3,0,72,25
Ade21,123,0,4,0,75,19
Ade47,85,0,3,0,54,17
AdeBrown,131,0,11,0,92,34
Ade_Davies,133,0,17,0,51,25
Ade_York,176,0,2,0,46,17
Adeebi,95,0,7,0,59,23
AdelaideBabez,165,0,11,0,92,19
Adesome,86,0,9,0,16,14
Adett84,55,0,7,0,21,6
Adie_A7X,94,2,5,2,52,17
Adieu1,95,0,3,0,17,8
Adiewhitex,127,0,8,0,73,18
Adio_Bam,166,0,3,0,15,10
Adlerboy,112,0,5,0,26,17
Adman8266,39,0,3,0,2,2
Admiral-jimbob,75,0,9,0,12,9
AdmiralDonkey,125,0,9,0,47,14
AdmiralHaslam,87,0,7,0,28,17
Admiralbjorn,122,0,2,0,59,22
AdnanRub,132,0,3,0,77,31
Adolfstickler,173,0,4,0,34,14
AdoptedKey,165,0,7,0,82,29
AdoraMary,20,0,1,0,15,6
Adrastea,168,0,12,0,49,18
Adrastea2372,82,0,6,0,19,10
AdreenaLiNa,157,0,7,0,69,23
AdrenalineAudio,54,0,2,0,44,9
AdriVesna,175,0,12,0,120,41
AdrianBizzle,130,0,6,0,30,10
AdrianHyatt,117,0,7,0,53,14
AdrianKrzywon,161,5,1,1,107,24
Adrian_Sharkey,113,0,7,0,21,8
Adrianics,78,0,5,0,60,24
Adrianp1,110,0,10,0,62,12
Adrlap,169,0,9,0,71,28
Adsar,142,1,7,1,64,24
Adsquan,129,3,16,2,36,16
Adsy_,95,0,2,0,75,34
Adthey,132,0,4,0,32,12
AdulteratedJedi,84,1,4,1,21,8
Adultfiction,69,0,5,0,22,11
Adunakhyr,166,1,7,1,138,44
Aduumb,130,0,5,0,28,9
AdvantageMusic,119,0,5,0,24,12
Advent_Child,139,1,7,1,76,28
AdventuresofAsh,53,0,2,0,9,6
AdverseKing,135,0,8,0,102,35
AdvertS,144,0,3,0,88,40
AdvocateKartel,54,0,2,0,37,11
AdvocateOfJoy,106,0,3,0,23,9
Adwalters,105,0,4,0,70,33
AdySmith,78,0,6,0,65,20
Ady_23,177,0,8,0,128,35
Adz14,129,0,2,0,58,17
Adz165,75,0,8,0,22,9
Adz1992,14,0,2,0,10,3
Adz7,94,0,1,0,9,7
AdzJacksonBMX,129,0,4,0,44,15
AdzMozz,152,0,3,0,32,15
AdzPearson,166,0,5,0,92,25
AdzSmith,170,0,1,0,20,11
AdzUnknown,164,0,5,0,64,24
Adz_Mann,152,0,2,0,59,23
Adzanrana,187,0,6,0,41,14
Adzin,164,0,14,0,129,44
Adzmusic,183,0,6,0,118,31
Adzy5,144,0,5,0,39,13
AdzybabyII,126,0,2,0,40,20
