user_id,num_ascolti_totali,settimane_totali,artisti_univoci,generi_univoci,indie rock,rock,pop,metal,electronic,hip pop,indie,r&b,punk,folk,altro
Adeebi,95,7,59.0,23.0,0.0,0.36,0.24,0.0,0.02,0.0,0.0,0.03,0.0,0.02,0.33
Admiralbjorn,122,2,59.0,22.0,0.13,0.41,0.17,0.0,0.0,0.0,0.01,0.01,0.09,0.01,0.17
AdnanRub,132,3,77.0,31.0,0.01,0.02,0.02,0.01,0.08,0.0,0.0,0.07,0.02,0.07,0.7
Adolfstickler,173,4,34.0,14.0,0.0,0.61,0.0,0.16,0.0,0.0,0.0,0.0,0.12,0.0,0.11
AdreenaLiNa,157,7,69.0,23.0,0.0,0.24,0.2,0.24,0.01,0.0,0.0,0.04,0.0,0.0,0.28
AdrianHyatt,117,7,53.0,14.0,0.0,0.03,0.25,0.0,0.01,0.0,0.0,0.08,0.0,0.0,0.63
Adrian_Sharkey,113,7,21.0,8.0,0.0,0.7,0.04,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13
Adsy_,95,2,75.0,34.0,0.0,0.08,0.09,0.0,0.06,0.0,0.03,0.02,0.0,0.03,0.67
Adthey,132,4,32.0,12.0,0.19,0.14,0.11,0.0,0.07,0.0,0.0,0.0,0.13,0.0,0.37
Adultfiction,69,5,22.0,11.0,0.25,0.01,0.09,0.0,0.03,0.0,0.2,0.0,0.0,0.09,0.33
AdverseKing,135,8,102.0,35.0,0.02,0.11,0.21,0.01,0.04,0.0,0.04,0.05,0.0,0.1,0.41
AdvertS,144,3,88.0,40.0,0.01,0.18,0.05,0.04,0.19,0.0,0.01,0.0,0.04,0.0,0.47
Ady_23,177,8,128.0,35.0,0.01,0.23,0.09,0.01,0.16,0.0,0.01,0.03,0.01,0.02,0.44
Adz14,129,2,58.0,17.0,0.01,0.27,0.41,0.0,0.02,0.0,0.01,0.02,0.01,0.0,0.25
Adz7,94,1,9.0,7.0,0.16,0.36,0.0,0.17,0.11,0.0,0.0,0.03,0.0,0.0,0.17
AdzPearson,166,5,92.0,25.0,0.0,0.13,0.31,0.0,0.11,0.0,0.0,0.0,0.02,0.01,0.42
Adz_Mann,152,2,59.0,23.0,0.0,0.2,0.0,0.35,0.05,0.0,0.0,0.0,0.09,0.0,0.31
Adzin,164,14,129.0,44.0,0.0,0.18,0.0,0.27,0.07,0.0,0.01,0.0,0.01,0.01,0.46
AdzybabyII,126,2,40.0,20.0,0.02,0.46,0.11,0.0,0.04,0.0,0.02,0.1,0.0,0.02,0.24
Aedenn,81,7,37.0,19.0,0.0,0.02,0.19,0.05,0.33,0.0,0.0,0.01,0.0,0.0,0.4
